Datetime,Soil_Moisture_30cm
04/22/2011 16:00:00,0.421
04/22/2011 17:00:00,0.421
04/22/2011 18:00:00,0.42
04/22/2011 19:00:00,0.418
04/22/2011 20:00:00,0.416
04/22/2011 21:00:00,0.416
04/22/2011 22:00:00,0.417
04/22/2011 23:00:00,0.417
04/23/2011 00:00:00,0.414
04/23/2011 01:00:00,0.415
04/23/2011 02:00:00,0.413
04/23/2011 03:00:00,0.414
04/23/2011 04:00:00,0.412
04/23/2011 05:00:00,0.412
04/23/2011 06:00:00,0.412
04/23/2011 07:00:00,0.412
04/23/2011 08:00:00,0.411
04/23/2011 09:00:00,0.41
04/23/2011 10:00:00,0.41
04/23/2011 11:00:00,0.407
04/23/2011 12:00:00,0.408
04/23/2011 13:00:00,0.409
04/23/2011 14:00:00,0.407
04/23/2011 15:00:00,0.408
04/23/2011 16:00:00,0.406
04/23/2011 17:00:00,0.407
04/23/2011 18:00:00,0.407
04/23/2011 19:00:00,0.405
04/23/2011 20:00:00,0.406
04/23/2011 21:00:00,0.406
04/23/2011 22:00:00,0.406
04/23/2011 23:00:00,0.405
04/24/2011 00:00:00,0.406
04/24/2011 01:00:00,0.404
04/24/2011 02:00:00,0.404
04/24/2011 03:00:00,0.404
04/24/2011 04:00:00,0.404
04/24/2011 05:00:00,0.403
04/24/2011 06:00:00,0.403
04/24/2011 07:00:00,0.403
04/24/2011 08:00:00,0.404
04/24/2011 09:00:00,0.404
04/24/2011 10:00:00,0.404
04/24/2011 11:00:00,0.403
04/24/2011 12:00:00,0.401
04/24/2011 13:00:00,0.403
04/24/2011 14:00:00,0.403
04/24/2011 15:00:00,0.401
04/24/2011 16:00:00,0.404
04/24/2011 17:00:00,0.402
04/24/2011 18:00:00,0.402
04/24/2011 19:00:00,0.401
04/24/2011 20:00:00,0.402
04/24/2011 21:00:00,0.401
04/24/2011 22:00:00,0.401
04/24/2011 23:00:00,0.401
04/25/2011 00:00:00,0.4
04/25/2011 01:00:00,0.4
04/25/2011 02:00:00,0.399
04/25/2011 03:00:00,0.401
04/25/2011 04:00:00,0.4
04/25/2011 05:00:00,0.399
04/25/2011 06:00:00,0.399
04/25/2011 07:00:00,0.401
04/25/2011 08:00:00,0.401
04/25/2011 09:00:00,0.4
04/25/2011 10:00:00,0.4
04/25/2011 11:00:00,0.398
04/25/2011 12:00:00,0.4
04/25/2011 13:00:00,0.398
04/25/2011 14:00:00,0.398
04/25/2011 15:00:00,0.397
04/25/2011 16:00:00,0.399
04/25/2011 17:00:00,0.397
04/25/2011 18:00:00,0.398
04/25/2011 19:00:00,0.397
04/25/2011 20:00:00,0.398
04/25/2011 21:00:00,0.396
04/25/2011 22:00:00,0.398
04/25/2011 23:00:00,0.397
04/26/2011 00:00:00,0.397
04/26/2011 01:00:00,0.397
04/26/2011 02:00:00,0.397
04/26/2011 03:00:00,0.398
04/26/2011 04:00:00,0.396
04/26/2011 05:00:00,0.396
04/26/2011 06:00:00,0.396
04/26/2011 07:00:00,0.396
04/26/2011 08:00:00,0.397
04/26/2011 09:00:00,0.397
04/26/2011 10:00:00,0.397
04/26/2011 11:00:00,0.395
04/26/2011 12:00:00,0.396
04/26/2011 13:00:00,0.395
04/26/2011 14:00:00,0.394
04/26/2011 15:00:00,0.396
04/26/2011 16:00:00,0.395
04/26/2011 17:00:00,0.395
04/26/2011 18:00:00,0.395
04/26/2011 19:00:00,0.394
04/26/2011 20:00:00,0.396
04/26/2011 21:00:00,0.395
04/26/2011 22:00:00,0.395
04/26/2011 23:00:00,0.395
04/27/2011 00:00:00,0.395
04/27/2011 01:00:00,0.395
04/27/2011 02:00:00,0.394
04/27/2011 03:00:00,0.394
04/27/2011 04:00:00,0.394
04/27/2011 05:00:00,0.392
04/27/2011 06:00:00,0.392
04/27/2011 07:00:00,0.394
04/27/2011 08:00:00,0.393
04/27/2011 09:00:00,0.393
04/27/2011 10:00:00,0.394
04/27/2011 11:00:00,0.393
04/27/2011 12:00:00,0.392
04/27/2011 13:00:00,0.392
04/27/2011 14:00:00,0.395
04/27/2011 15:00:00,0.393
04/27/2011 16:00:00,0.393
04/27/2011 17:00:00,0.392
04/27/2011 18:00:00,0.394
04/27/2011 19:00:00,0.394
04/27/2011 20:00:00,0.394
04/27/2011 21:00:00,0.396
04/27/2011 22:00:00,0.394
04/27/2011 23:00:00,0.395
04/28/2011 00:00:00,0.395
04/28/2011 01:00:00,0.396
04/28/2011 02:00:00,0.395
04/28/2011 03:00:00,0.395
04/28/2011 04:00:00,0.395
04/28/2011 05:00:00,0.395
04/28/2011 06:00:00,0.395
04/28/2011 07:00:00,0.396
04/28/2011 08:00:00,0.394
04/28/2011 09:00:00,0.393
04/28/2011 10:00:00,0.395
04/28/2011 11:00:00,0.395
04/28/2011 12:00:00,0.395
04/28/2011 13:00:00,0.395
04/28/2011 14:00:00,0.395
04/28/2011 15:00:00,0.394
04/28/2011 16:00:00,0.394
04/28/2011 17:00:00,0.395
04/28/2011 18:00:00,0.395
04/28/2011 19:00:00,0.394
04/28/2011 20:00:00,0.394
04/28/2011 21:00:00,0.394
04/28/2011 22:00:00,0.394
04/28/2011 23:00:00,0.392
04/29/2011 00:00:00,0.394
04/29/2011 01:00:00,0.393
04/29/2011 02:00:00,0.393
04/29/2011 03:00:00,0.393
04/29/2011 04:00:00,0.393
04/29/2011 05:00:00,0.393
04/29/2011 06:00:00,0.393
04/29/2011 07:00:00,0.394
04/29/2011 08:00:00,0.394
04/29/2011 09:00:00,0.392
04/29/2011 10:00:00,0.394
04/29/2011 11:00:00,0.392
04/29/2011 12:00:00,0.391
04/29/2011 13:00:00,0.394
04/29/2011 14:00:00,0.392
04/29/2011 15:00:00,0.392
04/29/2011 16:00:00,0.392
04/29/2011 17:00:00,0.392
04/29/2011 18:00:00,0.394
04/29/2011 19:00:00,0.392
04/29/2011 20:00:00,0.392
04/29/2011 21:00:00,0.393
04/29/2011 22:00:00,0.392
04/29/2011 23:00:00,0.392
04/30/2011 00:00:00,0.394
04/30/2011 01:00:00,0.393
04/30/2011 02:00:00,0.393
04/30/2011 03:00:00,0.391
04/30/2011 04:00:00,0.393
04/30/2011 05:00:00,0.392
04/30/2011 06:00:00,0.391
04/30/2011 07:00:00,0.392
04/30/2011 08:00:00,0.391
04/30/2011 09:00:00,0.393
04/30/2011 10:00:00,0.393
04/30/2011 11:00:00,0.393
04/30/2011 12:00:00,0.392
04/30/2011 13:00:00,0.392
04/30/2011 14:00:00,0.392
04/30/2011 15:00:00,0.392
04/30/2011 16:00:00,0.392
04/30/2011 17:00:00,0.392
04/30/2011 18:00:00,0.392
04/30/2011 19:00:00,0.392
04/30/2011 20:00:00,0.392
04/30/2011 21:00:00,0.39
04/30/2011 22:00:00,0.391
04/30/2011 23:00:00,0.391
